Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
Peter Bryan,United Kingdom,1993,2004,3,3,"A paranoid schizophrenic, Bryan was recluded in a mental institution after killing a shop assistant with a hammer in 1993. Released 11 years later after psychiatrists noted his ""continued improvement"", Bryan immediately killed a friend and was apprehended when he was frying his brains on a pan. Months later, Bryan killed a fellow mental patient, declaring that he didn't eat him solely because he was caught first. Currently imprisoned for life.",Europe,United Kingdom,Male,1990s
Lam Kwok-wai,Hong Kong,1993,2002,3,3,Convicted of 10 rapes and 3 murders that he committed with his bare hands. One of two only known serial killers in Hong Kong.,Asia,Hong Kong,Male,1990s
Dana Sue Gray,United States,1994,2003,3,3,Convicted of murder of three elderly women and attempted murder of a fourth in California.,North America,United States,Male,1990s
Robin Ligus,United Kingdom,1994,2003,3,3,Died in a mental institution in 2012.,Europe,United Kingdom,Male,1990s
Jack Owen Spillman,United States,1994,1995,3,3,"Known as ""The Werewolf Butcher""; killed two girls and the mother of one of them in Washington State in 1994 and 1995.",North America,United States,Male,1990s
Scott Williams,United States,1997,2006,3,3,Killed and mutilated three women between 1997 and 2006. Sentenced to life.,North America,United States,Male,1990s
Juan Covington,United States,1998,2005,3,3,Shot and killed 3 people.,North America,United States,Male,1990s
Matthew James Harris,Australia,1998,2007,3,3,"Strangled a friend's brother, a female friend and a male neighbour to death over five weeks in 1998 in Wagga Wagga.",Oceania,Australia,Male,1990s
Yukio Yamaji,Japan,2000,2005,3,3,"Murdered his own mother in 2000, and then murdered a 27-year-old woman and her 19-year-old sister in 2005.",Asia,Japan,Male,2000s
Hiroshi Maeue,Japan,2005,2014,3,3,"Called the ""Suicide Website Murderer"" for finding his victims in an online suicide community. Maeue offered to painlessly kill themselves together by charcoal burning in a car, but once together he strangled them with his bare hands instead, as this excited him sexually. Hanged in 2009.",Asia,Japan,Male,2000s
António Luís Costa,Portugal,2005,2006,3,3,"Ex-soldier, suffocated three women (and mutilated the first one) in Santa Comba Dao.",Europe,Portugal,Male,2000s
Özgür Dengiz,Turkey,2007,2016,3,3,"Known as ""The Cannibal of Ankara"" for eating one of his victims; a third victim survived. Interned in a mental institution after his conviction to two life sentences was overturned.",Asia,Turkey,Male,2000s
Mario Alberto Sulú Canché,Mexico,2007,2008,3,3,Killed 3 women from 2007 to 2008; later committing suicide by hanging in prison.,North America,Mexico,Male,2000s
Joanna Dennehy,United Kingdom,2013,2022,3,3,"Carried out the Peterborough ditch murders. Over a period of two weeks, murdered her landlord and two of her house mates by stabbing them. With the help of accomplices she dumped the bodies in ditches, then attempted to kill two strangers in broad daylight by stabbing them. Given whole life tariff on 28 February 2014.",Europe,United Kingdom,Female,2010s
Kimberly McCarthy,United States,1988,1997,3,3,"Executed for murdering her neighbour, 71-year-old Dorothy Booth; DNA evidence proved she had murdered two other elderly women, but she was never charged.",North America,United States,Male,1980s
David Burgess,United Kingdom,1966,1967,3,3,Stabbed and strangled three young girls in Beenham over a two-year period.,Europe,United Kingdom,Male,1960s
Larry Hall,United States,1980,1994,2,50,"Hall traveled around the American Midwest as part of his interest in historical reenactments, which he would also use as a cover for stalking, raping, and murdering teenage girls. It is believed his first murders were committed when he was 18 years old. Although he was convicted of kidnapping 15-year-old Jessica Roach, Hall has never been charged with murder. Authorities have tied 15 murders to Hall, though only been able to confirm two, he has admitted to (and recanted) committing 39, though the FBI believes he could have committed as many as 50 in at least three states.",North America,United States,Male,1980s
Alejandro Máynez,Mexico,1980,,2,50,"Killed at least two women in Ciudad Juárez, but believed to be 50. Supposedly, along with Ana Benavides and Melchor Máynez.",North America,Mexico,Male,1980s
Billy Gohl,United States,1901,1913,2,90,"Alleged to have killed from 40 to 140 seamen in Aberdeen, Washington",North America,United States,Male,1900s
Gerard John Schaefer,United States,1969,1973,2,30,"Florida police officer who killed up to 34 women and girls. Stabbed to death by fellow inmate Vincent Faustino Rivera on December 3, 1995.",North America,United States,Male,1960s
Macario Alcala Canchola,Mexico,1960,1962,2,12,"Known as ""Mexican Jack""; convicted of the murders of two sex workers but suspected of at least twelve more murders.",North America,Mexico,Male,1960s
Bruce Lindahl,United States,1974,1981,3,12,Accidentally killed himself while stabbing one of his victims; posthumously connected to various rape-murders in Dupage County.,North America,United States,Male,1970s
Robert Zarinsky,United States,1958,1974,2,10,Killed people between 1958 and 1974.,North America,United States,Male,1950s
Ed Gein,United States,1954,1957,2,8,"Famous for his necrophiliac behaviours, as well as using/storing body parts of his victims to make household furniture, clothing and other miscellaneous household items.",North America,United States,Male,1950s
José Luis Calva,Mexico,2007,2016,2,8,Killed and cannibalized women. Hanged himself in prison after being convicted to 84 years for two murders.,North America,Mexico,Male,2000s
Shirley Winters,United States,1979,2007,2,7,"Confessed in 2008 to killing 2 children (including her 5-month old son), 27 years apart. Plea agreement for those murders included clause stopping investigation of her role in a fire that killed 2 previous children in 1979. Is also a suspect in a separate fire that killed 3 children of a friend in 1979.",North America,United States,Female,1970s
Richard Rogers,United States,1973,1993,2,7,"Rogers, a gay man, was convicted of two murders and implicated by forensics in two others. He was also suspected of murdering two other men, and was charged but acquitted for murdering a college student in 1973.",North America,United States,Male,1970s
Rabidin Satir,Malaysia,2009,2012,2,6,"Nicknamed ""Rambo Bentong"". Rabidin had raped and murdered a 17-year-old schoolgirl Annie Kok Yin Cheng in March 2009 and battered 31-year-old forestry department employee Khairul Hazri Jamaludin to death in November 2012. Rabidin was convicted of both these murders and given two death sentences in 2014 and 2015 respectively. Rabidin was suspected of killing three to four more people: a nine-year-old girl, an elderly married couple in their 70s and a 63-year-old man between 2010 and 2012.",Asia,Malaysia,Male,2000s
Castration serial murders,United States,1980,1986,2,5,"Unidentified perpetrator who kidnapped young men, castrated them and shot them in the back of the head. Forensics proved at least two of the victims were killed by the same person.",North America,United States,Male,1980s
Steven Brian Pennell,United States,1987,1988,2,5,"Known as ""The Corridor Killer"" and ""The Route 40 Killer""; convicted of torture-murdering two women, pleaded no contest to two more and suspected of a fifth in Delaware in 1987 and 1988. Executed by lethal injection March 14, 1992.",North America,United States,Male,1980s
Glen Rogers,United States,1995,1999,2,5,"His capture in Kentucky ended a nationwide manhunt that began with the ""Cross-Country Killer's"" crime spree that stretched from coast to coast and left four women and one man from five different states dead. Rogers was convicted and sentenced to death by electric chair in Florida in 1997 for the stabbing death of Tina Marie Cribbs. He was later convicted and given a second death penalty in California for the September 1995 murder of Sandra Gallagher. Also known as the ""Casanova Killer"", Rogers is the lone suspect in the stabbing deaths of two other women (Linda Price in Jackson, Mississippi and Andy Jiles Sutton in Bossier City, Louisiana), both of whom—like Cribbs and Gallagher—he'd met and befriended in bars. The earliest homicide Rogers is suspected of is that of an elderly Ohio man, Mark Peters, with whom Rogers had lived for a short time. In 1994, Peters' remains were discovered in a Rogers ""family cabin"" in Kentucky.",North America,United States,Male,1990s
Mary Elizabeth Wilson,United Kingdom,1955,1957,2,4,"""The Merry Widow of Windy Nook"". Believed to have poisoned her four husbands in a period of only two years. Sentenced to death for two murders but changed to life in prison, where she died in 1963.",Europe,United Kingdom,Female,1950s
Bradley Edwards,Australia,1996,1997,2,3,Murders of two young women and the disappearance of a third in 1996 and 1997.,Oceania,Australia,Male,1990s
Hadden Clark,United States,1986,1992,2,2,"Killed and cannibalized a 6-year-old victim and a 23-year-old victim, and confessed to the murder of an unidentified woman nicknamed Lady of the Dunes.",North America,United States,Male,1980s
Gary M. Heidnik,United States,1986,1987,2,2,"Kidnapped, tortured, raped and imprisoned six women in his Philadelphia, Pennsylvania basement, killing two.",North America,United States,Male,1980s
Ronny Rieken,Germany,1996,1998,2,2,Raped and killed two girls ages 11 and 13. He was caught as a result of mass DNA screening and sentenced to life imprisonment.,Europe,Germany,Male,1990s
Johann Otto Hoch,"United States, Austria, France, United Kingdom",1888,1905,1,50,"Swindler who married several women under different aliases, most of whom died after a few months; others disappeared without a trace. Convicted of one murder by poisoning and hanged.",North America,Multiple Countries,Male,1880s
Carl Großmann,Germany,1918,1921,1,50,"Known as ""The Berlin Butcher"". Killed women and sold their flesh on the black market. Only one body found. Hanged himself in his cell after being sentenced to death.",Europe,Germany,Male,1910s
Sailson Jose das Gracas,Brazil,2005,2014,1,41,Claims to have murdered 41 people in a nine-year killing spree that started at the age of 17.,South America,Brazil,Male,2000s
Bobby Jack Fowler,"United States, Canada",1969,1996,1,20,"One murder proven, suspected of up to 20 more. Suspect in the Highway of Tears murders.",North America,Multiple Countries,Male,1960s
Leszek Pękalski,Poland,1984,1992,1,17,"Called ""The Vampire of Bytów"". Charged with 17 murders but convicted of only one (to 25 years in prison) for faulty collection of evidence. During the investigation he admitted to killing 80 people but later retracted his confession.",Europe,Poland,Male,1980s
Daniel Conahan,United States,1994,1996,1,12,Convicted of one murder and has been linked to over a dozen murders.,North America,United States,Male,1990s
Tillie Klimek,United States,1914,1921,1,6,Chicago woman who poisoned her husbands; only convicted of the murder of her third husband. Sentenced to life imprisonment.,North America,United States,Female,1910s
Lyda Southard,United States,1915,1920,1,6,"Suspected of killing her brother-in-law, four husbands and a daughter, but was only convicted of killing her fourth husband, Edward Meyer.",North America,United States,Female,1910s
John Norman Collins,United States,1969,1978,1,6,"Convicted of the murder of Karen Sue Beineman, suspected in the murder of at least five other young women in the vicinity of Ann Arbor and Ypsilanti, Michigan.",North America,United States,Male,1960s
Velma Barfield,United States,1971,1978,1,5,"Confessed to five poisonings with arsenic but was only tried and convicted for one. First woman to be executed in the United States after the 1976 resumption of capital punishment, receiving lethal injection in 1984.",North America,United States,Female,1970s
Raymond Morris,United Kingdom,1962,1971,1,3,"Known as the ""A34 Killer""; convicted of one murder, considered to have committed at least two more.",Europe,United Kingdom,Male,1960s
Robert Anthony Buell,United States,1981,1983,1,3,Sentenced to death for the murder of a young girl and chief suspect in the murders of two others. Executed by lethal injection in 2002.,North America,United States,Male,1980s
Hensley Anthony Neville,"Singapore, Malaysia",1984,1986,1,3,A Singaporean sentenced to death for the 1984 rape and murder of a 19-year-old interior engineer in Singapore and chief suspect of a 1986 double murder in Malaysia. Executed by hanging on 28 August 1992.,Asia,Multiple Countries,Male,1980s
Harold Shipman,United Kingdom,1975,1998,218,250,"Convicted of 15 murders and found to be responsible for the deaths of 218 patients identified by inquiry, but is believed to have killed around 250 people. He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Hanged himself in prison in 2004.",Europe,United Kingdom,Male,1970s
Steven Massof,United States,2003,2008,100,100,"Massof, who worked at Kermit Gosnell's abortion clinic, testified that he snipped the spines of more than 100 babies after seeing them show signs of life.",North America,United States,Male,2000s
Niels Högel,Germany,1999,2005,85,300,"Nurse who was sentenced to life imprisonment for the murder of more than 85 people. In November 2017, German prosecutors said that the number of victims was at least 106, with Högel admitting, in October 2018, to murdering 100 patients. By May 2019, he was believed to be the most prolific serial killer in peacetime Germany with up to 300 victims over fifteen years.",Europe,Germany,Male,1990s
Baba Anujka,Kingdom of Yugoslavia,,,50,150,"Anujka was an accomplished amateur chemist from the village of Vladimirovac, Yugoslavia (modern day Serbia). She poisoned at least 50 people and possibly as many as 150 in the late 19th and early 20th centuries. Was sentenced to 15 years in prison in 1929 but released after eight years due to old age.",Europe,Kingdom of Yugoslavia,Male,<NA>s
Kermit Gosnell,United States,,2010,48,200,"Kermit Gosnell is an American serial-killer and former physician who ran an abortion clinic known as the ""House of Horrors."" Authorities discovered the remains of at least 47 late-term aborted children stored in bags or cartons, several of which appeared to be killed after birth. He was convicted in 2011 for 3 counts of first-degree murder of babies he delivered alive and then severed the spinal cords of, 1 count of manslaughter for the death of a woman he performed an abortion on, and over 200 counts of other abortion-related laws. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff.",North America,United States,Male,<NA>s
Louay Omar Mohammed al-Taei,Iraq,2005,2006,43,43,"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.",Asia,Iraq,Male,2000s
Donald Harvey,United States,1970,1987,37,72,Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970–1987. Sentenced to 28 life sentences in Ohio.,North America,United States,Male,1970s
Jane Toppan,United States,1885,1901,31,31,Nurse that confessed to poisoning 31 patients. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.,North America,United States,Female,1880s
Charles Cullen,United States,1988,2003,29,400,"Nurse in New Jersey and Pennsylvania who murdered at least 29 patients between 1988 and 2003, but experts believe the number could be as high as 400. Cullen has admitted to more murders, which authorities believe are likely, but the murders cannot be verified due to lack of records.",North America,United States,Male,1980s
Stephan Letter,Germany,2003,2004,29,29,Nurse who killed 29 patients; sentenced to life imprisonment in 2006.,Europe,Germany,Male,2000s
Anders Hansson,Sweden,1978,1979,27,27,"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).",Europe,Sweden,Male,1970s
Marcel Petiot,France,1926,1944,26,63,Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946.,Europe,France,Male,1920s
Arnfinn Nesset,Norway,,1983,22,82,"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law.",Europe,Norway,Male,<NA>s
Roger Andermatt,Switzerland,1995,2001,22,22,"Known as the ""Death-Keeper of Lucerne""; nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment.",Europe,Switzerland,Male,1990s
Linda Hazzard,United States,1908,1912,15,17,"Quack doctor and swindler who manipulated her patients into fasting until they starved themselves to death. 17 deaths were attributed to this practice, with evidence of 15 being presented at her trial. She was pardoned after serving two years imprisonment with hard labour and later starved herself to death attempting her own fasting cure.",North America,United States,Female,1900s
Maxim Petrov,Russia,2000,2002,12,19,Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.,Europe,Russia,Male,2000s
Joan Vila,Spain,2009,2010,11,15,"Nursing home worker who fatally poisoned 11 elderly residents or more in Olot. In the trial he claimed they were mercy kills intended to spare the victims of further suffering, although three of them were administered caustic cleaning materials that caused severe burns and a long agony.",Europe,Spain,Female,2000s
Vickie Dawn Jackson,United States,2000,2001,10,20,"Vocational nurse at Nocona General Hospital who murdered patients who irritated her with injections of Mivacron. She was convicted of 10 murders, although law enforcement suspected her in around 20 suspicious deaths.",North America,United States,Female,2000s
Ann Arbor Hospital Killer,United States,1975,1984,10,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.,North America,United States,Male,1970s
Ludivine Chambet,France,2012,2013,10,10,"Known as ""The Poisoner of Chambéry""; nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.",Europe,France,Male,2010s
Frederick Mors,United States,1914,1915,8,8,"Born Carl Menarik, Austrian who killed 8 elderly patients by poisoning in New York. Sent to an asylum and escaped. Never caught.",North America,United States,Male,1910s
Elizabeth Wettlaufer,Canada,2007,2018,8,8,"Confessed to murdering eight senior citizens and attempting to murder six others in southwestern Ontario. With a total of fourteen victims either killed or injured by her actions, she is described as one of the worst serial killers in Canadian history.",North America,Canada,Female,2000s
Petr Zelenka,Czech Republic,2006,2015,7,21,Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.,Europe,Czech Republic,Male,2000s
Marianne Nölle,Germany,1984,1992,7,17,Nurse who was convicted of killing seven patients between 1984 and 1992; suspected of killing 17; sentenced to life imprisonment in 1993.,Europe,Germany,Male,1980s
Lucy Letby,United Kingdom,2015,2016,7,7,"Nurse convicted of murdering seven babies and attempting to murder another six while working at Countess of Chester Hospital in Chester, England.",Europe,United Kingdom,Female,2010s
Orville Lynn Majors,United States,1993,1995,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.",North America,United States,Male,1990s
Efren Saldivar,United States,1989,1997,6,50,"Respiratory therapist who killed six patients, possibly as many as 120.",North America,United States,Male,1980s
Christine Malèvre,France,,1998,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.",Europe,France,Male,<NA>s
Antoinette Scieri,France,1924,1925,6,12,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.,Europe,France,Female,1920s
Ahmad Ahmadi,Imperial State of Iran,1931,1944,6,6,Responsible for killing political prisoners at Qasr prison during the reign of Reza Shah.,Multiple continents,Imperial State of Iran,Male,1930s
Kristen Gilbert,United States,1990,1996,5,70,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.",North America,United States,Female,1990s
Frans Hooijmaijers,Netherlands,1970,1975,5,259,"Nurse who was convicted for killing five patients at a hospital in Kerkrade, the Netherlands from 1970 to 1975, but was suspected to have killed approximately 259 people.",Europe,Netherlands,Female,1970s
Miyuki Ishikawa,Japan,1946,1948,5,84,"Killed 84 newborn children at maximum. As a midwife, she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948, and sentenced to four years imprisonment in 1953 as final decision.",Asia,Japan,Female,1940s
Amy Archer-Gilligan,United States,1910,1917,5,48,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.",North America,United States,Female,1910s
Sonya Caleffi,Italy,2003,2004,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.,Europe,Italy,Female,2000s
Aino Nykopp-Koski,Finland,2004,2009,5,5,Nurse who killed five elderly patients using sedatives and opiates in Finland.,Europe,Finland,Female,2000s
Kimberly Clark Saenz,United States,2008,2017,5,5,Killed five patients by using syringes to inject bleach into their dialysis lines.,North America,United States,Female,2000s
Michael Swango,"United States, Zimbabwe",1981,1997,4,47,Medical Doctor who killed patients.,North America,Multiple Countries,Male,1980s
Edson Izidoro Guimarães,Brazil,,1999,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.",South America,Brazil,Male,<NA>s
Richard Angelo,United States,1987,1996,4,25,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.",North America,United States,Male,1980s
Colin Norris,United Kingdom,2002,2011,4,18,"Convicted of murdering four elderly women and attempting to murder another in two Leeds hospitals during 2002 while working as a nurse. He had injected the women, who were only in hospital due to broken hips, with massive overdoses of insulin. He was sentenced to life imprisonment with a minimum term of 30 years in 2008.",Europe,United Kingdom,Male,2000s
Beverley Allitt,United Kingdom,1991,2000,4,4,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.,Europe,United Kingdom,Female,1990s
Abraao Jose Bueno,Brazil,2005,2014,4,4,Nurse who injected young children with sedatives until they stopped breathing. He would then alert doctors in an attempt to earn the respect of his colleagues for being the first one to notice that something was wrong. Convicted of 4 deaths and 4 more murder attempts to 110 years in prison.,South America,Brazil,Male,2000s
Andrés Ulises Castillo Villarreal,Mexico,2009,2015,3,12,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.",North America,Mexico,Male,2000s
Elfriede Blauensteiner,Austria,1981,1995,3,10,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003.",Europe,Austria,Female,1980s
Genene Jones,United States,1970,1982,2,60,Nurse convicted of murdering two infants via lethal injection. Accused of up to 60 murders.,North America,United States,Female,1970s
Benjamin Geen,United Kingdom,2003,2004,2,12,"Nurse convicted in 2006 of murdering two patients and causing grievous bodily harm to another 15 at Horton General Hospital in Banbury, Oxfordshire between 2003 and 2004. Induced illness in the patients with overdoses of drugs, in order to enjoy the 'thrill' of resuscitating them. Given 17 life sentences and ordered to serve at least 30 years imprisonment. 9 other cases were originally investigated.",Europe,United Kingdom,Male,2000s
Marie Fikáčková,Czechoslovakia,1957,1960,2,10,Nurse who was executed by hanging in 1961 for murdering babies.,Europe,Czechoslovakia,Female,1950s
Victorino Chua,United Kingdom,2011,2020,2,5,Poisoned several patients at Stepping Hill Hospital with insulin.,Europe,United Kingdom,Male,2010s
Christopher Duntsch,United States,2011,2013,2,2,"Neurosurgeon known as ""Dr. Death""; injured 33 out of 38 patients in two years resulting in two deaths.",North America,United States,Male,2010s
Felícitas Sánchez Aguillón,Mexico,1930,1941,1,50,"Known as ""The Ogress of Roma neighborhood""; Nurse, midwife and baby farmer responsible for an unknown number of murders number during the 1930s, maybe 50 victims, in Mexico City.",North America,Mexico,Female,1930s
Robert George Clements,United Kingdom,1920,1947,1,4,"Believed to have murdered his four wives, all of whom died young and had their death certificates signed by Clements himself. Clements committed suicide with a morphine overdose when police came to arrest him for the murder of his fourth wife, who had died of the same cause.",Europe,United Kingdom,Male,1920s
Murder Incorporated,United States,1920,,400,1000,"Murder Incorporated or Murder Inc. for short was a large criminal enterprise of small contract-killing groups that were collectively known as Murder Inc. Run by Albert ""The Mad Hatter"" Anastasia and his close associates, the organization was responsible for the assassinations of key witnesses of early Cosa Nostra activities, so as to make them 'disappear' and break the case against the lead mobsters whenever they went to trial. In 1941 the group was exposed by former member Abe ""Kid Twist"" Reles and subsequently ceased to exist.",North America,United States,Gang,1920s
Philadelphia poison ring,United States,1931,1938,114,114,"Gang of 16 that poisoned Italian immigrants with arsenic in order to collect their life insurance. The leaders, cousins Herman and Paul Petrillo, were executed in the electric chair in 1941 while the rest were given life sentences.",North America,United States,Gang,1930s
Abboud and Khajawa,Iraq,,1917,100,100,"Married couple who resorted to cannibalism during a famine in Mosul. They would use their young son to lure children into their home before beating them to death, dismembering them and eating their remains or serving them to members of the public at their restaurant. They also killed and ate one adult neighbour but found that her body contained too much fat.",Asia,Iraq,Couple,<NA>s
Delfina and María de Jesús González,Mexico,1955,1964,91,91,"Two sisters who ran a brothel in Mexico, hired numerous sex workers and murdered at least 80 of them after they were deemed useless during the span of 10 years. They also killed 11 men. Probably the work of four of the sisters, sentenced to 40 years in prison. Body count varies due to the combined work of the sisters being impossible to assign to them individually.",North America,Mexico,Female,1950s
"Peng Miaoji, Ding Yunjia and Su Xiaoping",China,1998,1999,77,84,"Fleeing to Shaanxi, Jiangsu, Anhui, and Henan provinces and 21 provinces and cities 33 administrative villages; during 38 burglaries, killed 77 people, seriously injured three others.",Asia,China,Male Group,1990s
David Avendaño Ballina and his followers,Mexico,1997,2007,70,70,Sex servant gang who robbed and then poisoned their clients; the leader Ballina was arrested in 2008.,North America,Mexico,Gang,1990s
Hassan Orangi and Abbas Ali Zarifian,Iran,1945,1951,62,62,"Raped and murdered 62 women in Mashhad from 1945 to 1951. After his arrest, Orangi was tried, convicted, sentenced to death and later executed, while Zarifian was sentenced to 15 years for his role in the crimes.",Asia,Iran,Male Group,1940s
Angel Makers of Nagyrév,Hungary,1911,1929,50,300,"26 women who poisoned their husbands (sometimes also their parents, lovers and children) with arsenic under the guidance of midwife Júlia Fazekas and her accomplice, Susi Oláh.",Europe,Hungary,Female,1910s
Long Zhimin and Yan Shuxia,China,1983,1985,48,48,Shaanxi Province Wang Shou villagers Long Zhimin and Yan Shuxia in the home has killed 48 people.,Asia,China,Couple,1980s
"Bian Kuang, Fu Xinyuan and Luo Lianshun",China,2001,2002,41,41,"Manufacturing 51 cases of murder, robbery, rape, killing 41 people. Bian Kuang personally killed 39 people.",Asia,China,Male Group,2000s
Ivanova and Olga Tamarin,Russia,1909,1918,40,130,"A mother and daughter who used accomplices to lure victims to their home. Tortured, murdered, and cannibalized at least 40 people before they were apprehended.",Europe,Russia,Female,1900s
Ryno-Skachevsky gang,Russia,2006,2007,37,37,"Racist skinhead gang, led by Artur Ryno and Pavel Skachevsky, who killed people from non-European ethnicities or backgrounds; both sentenced to 10 years of penal labour.",Europe,Russia,Male,2000s
Gang of Amazons,Russia,2003,2013,30,30,"Family of robbers and serial killers, led by the parents Inessa Tarverdiyeva and Roman Podkopaev.",Europe,Russia,Gang,2000s
"Dean Corll, David Owen Brooks and Elmer Wayne Henley",United States,1970,1973,28,29,"Corll, known as ""The Candy Man"", killed at least 28 teenage boys and young men in Houston between 1970 and 1973. Corll was then shot and killed by one of the two teenage accomplices he recruited to assist him in the abductions of the victims on 8 August 1973. This accomplice, Elmer Wayne Henley, informed the police of the trio's murders the same day Corll was murdered.",North America,United States,Male Group,1970s
Brabant killers,"Belgium, France",1982,1985,28,40,"Gang made up by at least three extremely violent robbers, none of whom was ever identified or apprehended. Their bloodlust increased dramatically in their last year of activity, when they began shooting passersby before a robbery, including children, for no seeming reason. Some have theorized links to Operation Gladio.",Europe,Multiple Countries,Gang,1980s
Adolfo Constanzo and Sara Aldrete,Mexico,1986,1989,25,25,"""The Godparents of Matamoros"". Leader and second-in-command of a drug-smuggling cult that abducted men to perform human sacrifices.",North America,Mexico,Couple,1980s
Shankill Butchers,United Kingdom,1975,1982,23,23,"Ulster Loyalist gang led by Lenny Murphy, who killed people in sectarian attacks.",Europe,United Kingdom,Gang,1970s
Viktor Sayenko and Igor Suprunyuk,Ukraine,2007,2016,21,21,"""The Dnepropetrovsk Maniacs"". A pair of 19-year-olds who, over the course of less than a month, attacked and murdered passersby while out on walks. They recorded videos of some of the murders, including one which subsequently leaked to the Internet.",Europe,Ukraine,Male Group,2000s
Marcelo de Jesus Silva and his death squad,Brazil,,2010,20,20,"Brazilian man convicted of 20 counts of murder, robbery, drug trafficking and death squad. As he was only 1.28m tall, he was nicknamed Chucky and Pigmeu. Murdered in 2010 by rivals traffickers.",South America,Brazil,Gang,<NA>s
Wang Zongfang and Wang Zongwei,China,1983,1992,19,19,Killed soldiers using various arms in three provinces. Executed in 1983.,Asia,China,Male Group,1980s
Anísio Ferreira de Sousa and followers,Brazil,1989,1992,19,19,"Satanic ring that abducted, mutilated and sacrificed children in Altamira, Brazil. The leader, Ferreira de Sousa, was convicted to 77 years in prison for four murders and two attempted murders.",South America,Brazil,Gang,1980s
Ripper Crew,United States,1981,1982,18,18,"Abducted women, mostly sex workers, then raped, tortured and killed them in Chicago, Illinois.",North America,United States,Gang,1980s
John Allen Muhammad and Lee Boyd Malvo,United States,2002,2011,17,17,"Killed seventeen people from February to September 2002 and 10 in the Beltway sniper attacks of October 2002. Muhammad was executed in 2009, while Malvo received life imprisonment.",North America,United States,Male Group,2000s
Death Angels,United States,1973,1974,16,73,Four African-Americans who killed at least 16 white people and injured between eight and 10 in San Francisco (Zebra murders).,North America,United States,Gang,1970s
Vladyslav Volkovich and Volodymyr Kondratenko,Ukraine,1991,1997,16,20,"""The Nighttime Killers"". Murdered homeless men and lone drivers with a variety of weapons.",Europe,Ukraine,Male,1990s
Lainz Angels of Death,Austria,1983,1989,15,124,"Known as the ""Lainz Angels of Death""; Waltraud Wagner, Irene Leidolf, Stephanija Mayer, and Maria Gruber were nurses at the Lainz General Hospital in Vienna who admitted to murdering 49 patients.",Europe,Austria,Female,1980s
The Cleaners,Russia,2014,2015,15,15,"Neo-Nazi gang, led by Pavel Voitov and Elena Lobacheva, who murdered alcoholic tramps and beggars; Voitov sentenced to life imprisonment and Lobacheva to 13 years in a penal colony.",Europe,Russia,Gang,2010s
José Miculax Bux and Mariano Macú Miculax,Guatemala,1946,1955,15,15,Cousins who killed 15 boys in 1946.,North America,Guatemala,Male Group,1940s
